id,Course,Hole,par,yardage,fun,difficulty,maintenance,city,state,postalCode,photo,thumbnail,description
aberdeen-country-club-1,Aberdeen Country Club,1,5,491,,,,Longs,,29568,assets/photos/Aberdeen-1.png,,
aberdeen-country-club-2,Aberdeen Country Club,2,4,358,,,,Longs,,29568,,,
aberdeen-country-club-3,Aberdeen Country Club,3,3,138,,,,Longs,,29568,,,
aberdeen-country-club-4,Aberdeen Country Club,4,4,337,,,,Longs,,29568,,,
aberdeen-country-club-5,Aberdeen Country Club,5,5,514,,,,Longs,,29568,,,
aberdeen-country-club-6,Aberdeen Country Club,6,4,345,,,,Longs,,29568,,,
aberdeen-country-club-7,Aberdeen Country Club,7,3,144,,,,Longs,,29568,,,
aberdeen-country-club-8,Aberdeen Country Club,8,4,353,,,,Longs,,29568,,,
aberdeen-country-club-9,Aberdeen Country Club,9,4,389,,,,Longs,,29568,,,
aberdeen-country-club-10,Aberdeen Country Club,10,4,306,,,,Longs,,29568,,,
aberdeen-country-club-11,Aberdeen Country Club,11,5,494,,,,Longs,,29568,,,
aberdeen-country-club-12,Aberdeen Country Club,12,4,300,,,,Longs,,29568,,,
aberdeen-country-club-13,Aberdeen Country Club,13,3,129,,,,Longs,,29568,,,
aberdeen-country-club-14,Aberdeen Country Club,14,4,358,,,,Longs,,29568,,,
aberdeen-country-club-15,Aberdeen Country Club,15,4,365,,,,Longs,,29568,,,
aberdeen-country-club-16,Aberdeen Country Club,16,5,546,,,,Longs,,29568,,,
aberdeen-country-club-17,Aberdeen Country Club,17,3,160,,,,Longs,,29568,,,
aberdeen-country-club-18,Aberdeen Country Club,18,4,352,,,,Longs,,29568,,,
anderson-country-club-1,Anderson Country Club,1,,,,,,Anderson,,29621,,,
anderson-country-club-2,Anderson Country Club,2,,,,,,Anderson,,29621,,,
anderson-country-club-3,Anderson Country Club,3,,,,,,Anderson,,29621,,,
anderson-country-club-4,Anderson Country Club,4,,,,,,Anderson,,29621,,,
anderson-country-club-5,Anderson Country Club,5,,,,,,Anderson,,29621,,,
anderson-country-club-6,Anderson Country Club,6,,,,,,Anderson,,29621,,,
anderson-country-club-7,Anderson Country Club,7,,,,,,Anderson,,29621,,,
anderson-country-club-8,Anderson Country Club,8,,,,,,Anderson,,29621,,,
anderson-country-club-9,Anderson Country Club,9,,,,,,Anderson,,29621,,,
anderson-country-club-10,Anderson Country Club,10,,,,,,Anderson,,29621,,,
anderson-country-club-11,Anderson Country Club,11,,,,,,Anderson,,29621,,,
anderson-country-club-12,Anderson Country Club,12,,,,,,Anderson,,29621,,,
anderson-country-club-13,Anderson Country Club,13,,,,,,Anderson,,29621,,,
anderson-country-club-14,Anderson Country Club,14,,,,,,Anderson,,29621,,,
anderson-country-club-15,Anderson Country Club,15,,,,,,Anderson,,29621,,,
anderson-country-club-16,Anderson Country Club,16,,,,,,Anderson,,29621,,,
anderson-country-club-17,Anderson Country Club,17,,,,,,Anderson,,29621,,,
anderson-country-club-18,Anderson Country Club,18,,,,,,Anderson,,29621,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-1,Arcadian Shores Golf Club at Myrtle Beach Hilton,1,,,,,,Myrtle Beach,,29577,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-2,Arcadian Shores Golf Club at Myrtle Beach Hilton,2,,,,,,Myrtle Beach,,29577,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-3,Arcadian Shores Golf Club at Myrtle Beach Hilton,3,,,,,,Myrtle Beach,,29577,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-4,Arcadian Shores Golf Club at Myrtle Beach Hilton,4,,,,,,Myrtle Beach,,29577,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-5,Arcadian Shores Golf Club at Myrtle Beach Hilton,5,,,,,,Myrtle Beach,,29577,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-6,Arcadian Shores Golf Club at Myrtle Beach Hilton,6,,,,,,Myrtle Beach,,29577,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-7,Arcadian Shores Golf Club at Myrtle Beach Hilton,7,,,,,,Myrtle Beach,,29577,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-8,Arcadian Shores Golf Club at Myrtle Beach Hilton,8,,,,,,Myrtle Beach,,29577,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-9,Arcadian Shores Golf Club at Myrtle Beach Hilton,9,,,,,,Myrtle Beach,,29577,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-10,Arcadian Shores Golf Club at Myrtle Beach Hilton,10,,,,,,Myrtle Beach,,29577,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-11,Arcadian Shores Golf Club at Myrtle Beach Hilton,11,,,,,,Myrtle Beach,,29577,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-12,Arcadian Shores Golf Club at Myrtle Beach Hilton,12,,,,,,Myrtle Beach,,29577,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-13,Arcadian Shores Golf Club at Myrtle Beach Hilton,13,,,,,,Myrtle Beach,,29577,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-14,Arcadian Shores Golf Club at Myrtle Beach Hilton,14,,,,,,Myrtle Beach,,29577,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-15,Arcadian Shores Golf Club at Myrtle Beach Hilton,15,,,,,,Myrtle Beach,,29577,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-16,Arcadian Shores Golf Club at Myrtle Beach Hilton,16,,,,,,Myrtle Beach,,29577,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-17,Arcadian Shores Golf Club at Myrtle Beach Hilton,17,,,,,,Myrtle Beach,,29577,,,
arcadian-shores-golf-club-at-myrtle-beach-hilton-18,Arcadian Shores Golf Club at Myrtle Beach Hilton,18,,,,,,Myrtle Beach,,29577,,,
argent-lakes-golf-club-1,Argent Lakes Golf Club,1,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-2,Argent Lakes Golf Club,2,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-3,Argent Lakes Golf Club,3,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-4,Argent Lakes Golf Club,4,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-5,Argent Lakes Golf Club,5,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-6,Argent Lakes Golf Club,6,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-7,Argent Lakes Golf Club,7,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-8,Argent Lakes Golf Club,8,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-9,Argent Lakes Golf Club,9,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-10,Argent Lakes Golf Club,10,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-11,Argent Lakes Golf Club,11,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-12,Argent Lakes Golf Club,12,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-13,Argent Lakes Golf Club,13,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-14,Argent Lakes Golf Club,14,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-15,Argent Lakes Golf Club,15,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-16,Argent Lakes Golf Club,16,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-17,Argent Lakes Golf Club,17,,,,,,Hardeeville,,29927,,,
argent-lakes-golf-club-18,Argent Lakes Golf Club,18,,,,,,Hardeeville,,29927,,,
arrowhead-country-club-1,Arrowhead Country Club,1,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-2,Arrowhead Country Club,2,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-3,Arrowhead Country Club,3,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-4,Arrowhead Country Club,4,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-5,Arrowhead Country Club,5,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-6,Arrowhead Country Club,6,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-7,Arrowhead Country Club,7,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-8,Arrowhead Country Club,8,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-9,Arrowhead Country Club,9,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-10,Arrowhead Country Club,10,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-11,Arrowhead Country Club,11,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-12,Arrowhead Country Club,12,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-13,Arrowhead Country Club,13,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-14,Arrowhead Country Club,14,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-15,Arrowhead Country Club,15,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-16,Arrowhead Country Club,16,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-17,Arrowhead Country Club,17,,,,,,Myrtle Beach,,29579,,,
arrowhead-country-club-18,Arrowhead Country Club,18,,,,,,Myrtle Beach,,29579,,,
azalea-sands-golf-course-1,Azalea Sands Golf Course,1,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-2,Azalea Sands Golf Course,2,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-3,Azalea Sands Golf Course,3,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-4,Azalea Sands Golf Course,4,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-5,Azalea Sands Golf Course,5,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-6,Azalea Sands Golf Course,6,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-7,Azalea Sands Golf Course,7,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-8,Azalea Sands Golf Course,8,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-9,Azalea Sands Golf Course,9,,,,,,North Myrtle Beach,,29582,,,
azalea-sands-golf-course-10,Azalea Sands Golf Course,10,,,,,,North Myrtle Beach,,29582,,,
