Course,City,ZIP,Yardage_Back_Tees,Slope_Back_Tees,Location (Inferred Region),Photo,
Aberdeen Country Club,Longs,29568,6800,125,Myrtle Beach Area,Aberdeen-1.png,
Anderson Country Club,Anderson,29621,6500,124,Anderson (Upcountry),nophoto.png,
Arcadian Shores Golf Club at Myrtle Beach Hilton,Myrtle Beach,29577,6771,123,Myrtle Beach,nophoto.png,
Argent Lakes Golf Club,Hardeeville,29927,7052,130,Hilton Head Area,nophoto.png,
Arrowhead Country Club,Myrtle Beach,29579,6700,122,Myrtle Beach Area,nophoto.png,
Azalea Sands Golf Course,North Myrtle Beach,29582,1500 (Par 3),113,Myrtle Beach Area,nophoto.png,
Barefoot Resort & Golf - Fazio Course,North Myrtle Beach,29582,7003,138,North Myrtle Beach,nophoto.png,
Barefoot Resort & Golf - Love Course,North Myrtle Beach,29582,6934,140,North Myrtle Beach,nophoto.png,
Barefoot Resort & Golf - Norman Course,North Myrtle Beach,29582,7011,135,North Myrtle Beach,nophoto.png,
Barefoot Resort & Golf - The Dye Club,North Myrtle Beach,29582,7047,142,North Myrtle Beach,nophoto.png,
Bay Tree Golf Plantation - Gold,Myrtle Beach,29577,6400,120,Myrtle Beach Area,nophoto.png,
Bay Tree Golf Plantation - Silver,Myrtle Beach,29577,6200,118,Myrtle Beach Area,nophoto.png,
Beachwood Golf Club,North Myrtle Beach,29582,6600,121,North Myrtle Beach,nophoto.png,
Bear Creek Golf Club,West Union,29696,6300,125,Not Specified,nophoto.png,
,,,,,,,
Beech Creek Golf Club,Piedmont,29673,6800,128,Not Specified,nophoto.png,
Belfair Golf Club,Bluffton,29910,7100,145,Bluffton (Hilton Head Area),nophoto.png,
Berkeley Country Club,Moncks Corner,29461,6400,120,Moncks Corner (Charleston Area),nophoto.png,
,,,,,,,
,,,,,,,
,,,,,,,
Blackmoor Golf Club,Murrells Inlet,29576,6500,124,Murrells Inlet (Myrtle Beach Area),nophoto.png,
,,,,,,,
Blue Ridge Golf Center,Walhalla,29691,3000 (Par 3/Exec),110,Walhalla (Upcountry),nophoto.png,
,,,,,,,
Boscobel Country Club,Pendleton,29670,6100,118,Pendleton (Upcountry),nophoto.png,
Brays Island Plantation Golf Club,Sheldon,29941,6800,130,Sheldon (Hilton Head Area),nophoto.png,
Brookstone Meadows Golf Course,Anderson,29621,6300,120,Anderson (Upcountry),nophoto.png,
Burning Ridge Golf Course,Conway,29526,6400,121,Conway (Myrtle Beach Area),nophoto.png,
Caledonia Golf & Fish Club,Pawleys Island,29585,6526,132,Pawleys Island (Myrtle Beach Area),caledonia.jpg,
Calhoun Hills Golf Course,Calhoun Falls,29628,6200,119,Calhoun Falls (Lakelands Region),nophoto.png,
Callawassie Island Club,Okatie,29909,6900,135,Callawassie Island (Hilton Head Area),nophoto.png,
Camden Country Club,Camden,29020,6600,125,Camden (Olde English District),nophoto.png,
Carolina Country Club,Spartanburg,29302,6700,128,Spartanburg (Upstate SC),nophoto.png,
,,,,,,,
Carolina Lakes Golf Course,Sumter,29152,6500,123,Shaw AFB (Sumter Area),nophoto.png,
Carolina Springs Golf Club,Fountain Inn,29644,6800,126,Fountain Inn (Upcountry),nophoto.png,
Carolinas Country Club,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,nophoto.png,
Cedar Creek Golf Club,North Augusta,29841,6400,122,Aiken (Thoroughbred Country),nophoto.png,
,,,,,,,
Charleston Air Force Base Golf Course,North Charleston,29406,6300,120,Charleston,nophoto.png,
Charleston National Country Club,Mount Pleasant,29466,7200,140,Mount Pleasant (Charleston Area),nophoto.png,
Charwood Country Club,West Columbia,29170,6500,124,West Columbia (Columbia - Lake Murray Country),nophoto.png,
Chechessee Creek Club,Okatie,29909,6700,132,Okatie (Hilton Head Area),nophoto.png,
Cheraw State Park Golf Course,Cheraw,29520,6200,118,Cheraw (Pee Dee),nophoto.png,
Cherokee National Golf Course,Gaffney,29340,6400,121,Gaffney (Upstate SC),nophoto.png,
Cherokee Valley Golf Club,Travelers Rest,29690,6900,135,Travelers Rest (Upcountry),nophoto.png,
Cherry Hill Country Club,Andrews,29510,6100,117,Andrews (Pee Dee),nophoto.png,
Chester Golf Club,Chester,29706,6300,119,Chester (Olde English District),nophoto.png,
Chickasaw Point Golf Course,Westminster,29693,6800,127,Westminster (Upcountry),nophoto.png,
City of Charleston Golf Course,Charleston,29414,5600,112,Charleston,nophoto.png,
Cliffs at Glassy,Landrum,29356,7100,142,Landrum (Upcountry),nophoto.png,
Cliffs Valley,Travelers Rest,29690,7200,145,Travelers Rest (Upcountry),nophoto.png,
Clio Country Club,Clio,29525,5800,114,Clio (Pee Dee),nophoto.png,
Cobblestone Park Golf Club,Blythewood,29016,7000,130,Blythewood (Columbia - Lake Murray Country),nophoto.png,
Cobbs Glen Country Club,Anderson,29624,6500,123,Anderson (Upcountry),nophoto.png,
Cokesbury Hills Golf Club,Hodges,29653,6600,125,Hodges (Lakelands Region),nophoto.png,
Colleton River Plantation Club - Bruce Borland,Bluffton,29910,7300,148,Bluffton (Hilton Head Area),nophoto.png,
Colleton River Plantation Club - Jack Nicklaus Course,Bluffton,29910,7200,145,Bluffton (Hilton Head Area),nophoto.png,
Colleton River Plantation Club - Pete Dye Course,Bluffton,29910,7100,144,Bluffton (Hilton Head Area),nophoto.png,
Colonial Charter Golf Club,Longs,29568,6300,120,Longs (Myrtle Beach Area),nophoto.png,
Columbia Country Club,Columbia,29206,6700,128,Blythewood (Columbia - Lake Murray Country),nophoto.png,
Congaree Golf Club,Ridgeland,29936,7400,150,Ridgeland (Hilton Head Area),nophoto.png,
Conway Golf & Country Club,Conway,29526,6400,121,Conway (Myrtle Beach Area),nophoto.png,
Coopers Creek Golf Course,Leesville,29070,6800,126,Leesville (Columbia - Lake Murray Country),nophoto.png,
Coosaw Creek Country Club,Ladson,29456,6700,127,North Charleston (Charleston Area),nophoto.png,
Cougar Point Golf Club at Kiawah Island Golf Resort,Kiawah Island,29455,7028,142,Kiawah Island,nophoto.png,
Country Club of Beaufort at Pleasant Point,Beaufort,29907,6600,125,Beaufort (Hilton Head Area),nophoto.png,
Country Club of Charleston,Charleston,29412,6800,130,Charleston,nophoto.png,
Country Club of Hilton Head,Hilton Head Island,29928,6700,128,Hilton Head Island,nophoto.png,
Country Club of Lexington,Lexington,29072,6900,132,Lexington (Columbia - Lake Murray Country),nophoto.png,
Country Club of Newberry,Newberry,29108,6400,122,Newberry (Lakelands Region),nophoto.png,
Country Club of South Carolina,Florence,29501,6800,129,Florence (Pee Dee),nophoto.png,
Crescent Pointe Golf Club,Bluffton,29910,6800,131,Bluffton (Hilton Head Area),nophoto.png,
Crestwood Country Club,Denmark,29042,6300,120,Denmark (Thoroughbred Country),nophoto.png,
Cross Creek Plantation,Seneca,29678,7000,135,Seneca (Upcountry),nophoto.png,
Crowfield Golf Club,Goose Creek,29445,6900,133,Goose Creek (Charleston Area),nophoto.png,
